["012345678", 0]
["012345786", 16]
["012345867", 16]
["012346587", 20]
["012346758", 18]
["012346875", 16]
["012347568", 18]
["012347685", 8]
["012347856", 18]
["012348576", 16]
["012348657", 8]
["012348765", 20]
["012354687", 16]
["012354768", 18]
["012354876", 22]
["012356478", 14]
["012356784", 16]
["012356847", 18]
["012357486", 14]
["012357648", 16]
["012357864", 18]
["012358467", 8]
["012358674", 10]
["012358746", 12]
["012364578", 14]
["012364785", 8]
["012364857", 14]
["012365487", 16]
["012365748", 6]
["012365874", 16]
["012367458", 20]
["012367584", 16]
["012367845", 12]
["012368475", 18]
["012368547", 12]
["012368754", 10]
["012374586", 18]
["012374658", 16]
["012374865", 12]
["012375468", 6]
["012375684", 10]
["012375846", 16]
["012376485", 12]
["012376548", 16]
["012376854", 14]
["012378456", 12]
["012378564", 14]
["012378645", 16]
["012384567", 16]
["012384675", 10]
["012384756", 18]
["012385476", 16]
["012385647", 10]
["012385764", 16]
["012386457", 16]
["012386574", 18]
["012386745", 14]
["012387465", 10]
["012387546", 14]
["012387654", 16]
["012435687", 18]
["012435768", 18]
["012435876", 22]
["012436578", 22]
["012436785", 16]
["012436857", 22]
["012437586", 22]
["012437658", 22]
["012437865", 20]
["012438567", 16]
["012438675", 18]
["012438756", 20]
["012453678", 14]
["012453786", 22]
["012453867", 20]
["012456387", 24]
["012456738", 20]
["012456873", 24]
["012457368", 18]
["012457683", 18]
["012457836", 20]
["012458376", 20]
["012458637", 16]
["012458763", 22]
["012463587", 20]
["012463758", 16]
["012463875", 18]
["012465378", 14]
["012465783", 18]
["012465837", 18]
["012467385", 18]
["012467538", 22]
["012467853", 22]
["012468357", 18]
["012468573", 22]
["012468735", 18]
["012473568", 16]
["012473685", 16]
["012473856", 20]
["012475386", 16]
["012475638", 14]
["012475863", 22]
["012476358", 22]
["012476583", 22]
["012476835", 18]
["012478365", 18]
["012478536", 18]
["012478653", 18]
["012483576", 24]
["012483657", 18]
["012483765", 18]
["012485367", 12]
["012485673", 18]
["012485736", 18]
["012486375", 18]
["012486537", 22]
["012486753", 24]
["012487356", 18]
["012487563", 20]
["012487635", 18]
["012534678", 14]
["012534786", 20]
["012534867", 22]
["012536487", 20]
["012536748", 16]
["012536874", 24]
["012537468", 16]
["012537684", 18]
["012537846", 20]
["012538476", 18]
["012538647", 16]
["012538764", 18]
["012543687", 18]
["012543768", 18]
["012543876", 24]
["012546378", 14]
["012546783", 18]
["012546837", 20]
["012547386", 14]
["012547638", 18]
["012547863", 20]
["012548367", 10]
["012548673", 14]
["012548736", 14]
["012563478", 22]
["012563784", 20]
["012563847", 22]
["012564387", 20]
["012564738", 18]
["012564873", 26]
["012567348", 18]
["012567483", 22]
["012567834", 22]
["012568374", 16]
["012568437", 16]
["012568743", 20]
["012573486", 22]
["012573648", 24]
["012573864", 24]
["012574368", 16]
["012574683", 20]
["012574836", 22]
["012576384", 20]
["012576438", 20]
["012576843", 24]
["012578346", 16]
["012578463", 20]
["012578634", 20]
["012583467", 20]
["012583674", 22]
["012583746", 24]
["012584376", 22]
["012584637", 20]
["012584763", 24]
["012586347", 22]
["012586473", 22]
["012586734", 24]
["012587364", 18]
["012587436", 18]
["012587643", 22]
["012634587", 24]
["012634758", 18]
["012634875", 20]
["012635478", 14]
["012635784", 12]
["012635847", 16]
["012637485", 18]
["012637548", 22]
["012637854", 18]
["012638457", 18]
["012638574", 18]
["012638745", 18]
["012643578", 14]
["012643785", 10]
["012643857", 14]
["012645387", 20]
["012645738", 8]
["012645873", 16]
["012647358", 22]
["012647583", 16]
["012647835", 12]
["012648375", 22]
["012648537", 12]
["012648753", 12]
["012653487", 20]
["012653748", 16]
["012653874", 22]
["012654378", 20]
["012654783", 20]
["012654837", 22]
["012657384", 20]
["012657438", 20]
["012657843", 20]
["012658347", 16]
["012658473", 16]
["012658734", 18]
["012673458", 18]
["012673584", 22]
["012673845", 16]
["012674385", 16]
["012674538", 20]
["012674853", 18]
["012675348", 14]
["012675483", 18]
["012675834", 16]
["012678354", 18]
["012678435", 20]
["012678543", 18]
["012683475", 16]
["012683547", 20]
["012683754", 18]
["012684357", 20]
["012684573", 22]
["012684735", 18]
["012685374", 18]
["012685437", 14]
["012685743", 16]
["012687345", 18]
["012687453", 20]
["012687534", 20]
["012734568", 20]
["012734685", 16]
["012734856", 20]
["012735486", 18]
["012735648", 14]
["012735864", 18]
["012736458", 22]
["012736584", 22]
["012736845", 18]
["012738465", 18]
["012738546", 18]
["012738654", 18]
["012743586", 20]
["012743658", 18]
["012743865", 14]
["012745368", 8]
["012745683", 18]
["012745836", 18]
["012746385", 12]
["012746538", 18]
["012746853", 16]
["012748356", 12]
["012748563", 16]
["012748635", 22]
["012753468", 18]
["012753684", 20]
["012753846", 22]
["012754386", 22]
["012754638", 22]
["012754863", 24]
["012756348", 20]
["012756483", 22]
["012756834", 24]
["012758364", 18]
["012758436", 16]
["012758643", 20]
["012763485", 16]
["012763548", 20]
["012763854", 18]
["012764358", 20]
["012764583", 22]
["012764835", 16]
["012765384", 14]
["012765438", 14]
["012765843", 18]
["012768345", 20]
["012768453", 18]
["012768534", 18]
["012783456", 22]
["012783564", 24]
["012783645", 20]
["012784365", 18]
["012784536", 24]
["012784653", 22]
["012785346", 16]
["012785463", 20]
["012785634", 20]
["012786354", 20]
["012786435", 18]
["012786543", 22]
["012834576", 24]
["012834657", 18]
["012834765", 22]
["012835467", 18]
["012835674", 18]
["012835746", 22]
["012836475", 22]
["012836547", 22]
["012836754", 20]
["012837456", 22]
["012837564", 24]
["012837645", 18]
["012843567", 18]
["012843675", 14]
["012843756", 20]
["012845376", 16]
["012845637", 18]
["012845763", 20]
["012846357", 16]
["012846573", 20]
["012846735", 16]
["012847365", 12]
["012847536", 16]
["012847653", 18]
["012853476", 26]
["012853647", 20]
["012853764", 24]
["012854367", 20]
["012854673", 24]
["012854736", 24]
["012856374", 22]
["012856437", 22]
["012856743", 24]
["012857346", 18]
["012857463", 22]
["012857634", 22]
["012863457", 22]
["012863574", 22]
["012863745", 20]
["012864375", 16]
["012864537", 22]
["012864753", 22]
["012865347", 18]
["012865473", 22]
["012865734", 20]
["012867354", 20]
["012867435", 18]
["012867543", 24]
["012873465", 20]
["012873546", 24]
["012873654", 22]
["012874356", 20]
["012874563", 24]
["012874635", 20]
["012875364", 16]
["012875436", 18]
["012875643", 20]
["012876345", 18]
["012876453", 24]
["012876534", 22]
["013245687", 24]
["013245768", 22]
["013245876", 26]
["013246578", 24]
["013246785", 20]
["013246857", 24]
["013247586", 24]
["013247658", 26]
["013247865", 24]
["013248567", 20]
["013248675", 22]
["013248756", 24]
["013254678", 18]
["013254786", 24]
["013254867", 24]
["013256487", 26]
["013256748", 22]
["013256874", 28]
["013257468", 22]
["013257684", 22]
["013257846", 26]
["013258476", 24]
["013258647", 20]
["013258764", 24]
["013264587", 26]
["013264758", 22]
["013264875", 24]
["013265478", 20]
["013265784", 18]
["013265847", 22]
["013267485", 24]
["013267548", 26]
["013267854", 24]
["013268457", 24]
["013268574", 22]
["013268745", 22]
["013274568", 22]
["013274685", 20]
["013274856", 26]
["013275486", 22]
["013275648", 22]
["013275864", 22]
["013276458", 26]
["013276584", 28]
["013276845", 24]
["013278465", 22]
["013278546", 24]
["013278654", 24]
["013284576", 28]
["013284657", 22]
["013284765", 24]
["013285467", 18]
["013285674", 20]
["013285746", 22]
["013286475", 22]
["013286547", 28]
["013286754", 26]
["013287456", 24]
["013287564", 26]
["013287645", 24]
["013425678", 16]
["013425786", 22]
["013425867", 22]
["013426587", 26]
["013426758", 22]
["013426875", 24]
["013427568", 22]
["013427685", 20]
["013427856", 24]
["013428576", 24]
["013428657", 20]
["013428765", 24]
["013452687", 20]
["013452768", 22]
["013452876", 26]
["013456278", 26]
["013456782", 22]
["013456827", 28]
["013457286", 26]
["013457628", 24]
["013457862", 24]
["013458267", 20]
["013458672", 20]
["013458726", 24]
["013462578", 18]
["013462785", 14]
["013462857", 18]
["013465287", 24]
["013465728", 18]
["013465872", 22]
["013467258", 26]
["013467582", 22]
["013467825", 22]
["013468275", 26]
["013468527", 22]
["013468752", 18]
["013472586", 24]
["013472658", 20]
["013472865", 18]
["013475268", 18]
["013475682", 20]
["013475826", 22]
["013476285", 24]
["013476528", 24]
["013476852", 20]
["013478256", 24]
["013478562", 22]
["013478625", 24]
["013482567", 22]
["013482675", 16]
["013482756", 24]
["013485276", 26]
["013485627", 20]
["013485762", 22]
["013486257", 28]
["013486572", 24]
["013486725", 26]
["013487265", 22]
["013487526", 26]
["013487652", 22]
["013524687", 22]
["013524768", 22]
["013524876", 28]
["013526478", 24]
["013526784", 22]
["013526847", 26]
["013527486", 26]
["013527648", 24]
["013527864", 24]
["013528467", 20]
["013528674", 22]
["013528746", 24]
["013542678", 14]
["013542786", 24]
["013542867", 22]
["013546287", 28]
["013546728", 24]
["013546872", 26]
["013547268", 24]
["013547682", 18]
["013547826", 26]
["013548276", 26]
["013548627", 18]
["013548762", 24]
["013562487", 24]
["013562748", 16]
["013562874", 24]
["013564278", 24]
["013564782", 20]
["013564827", 24]
["013567284", 28]
["013567428", 26]
["013567842", 24]
["013568247", 24]
["013568472", 24]
["013568724", 20]
["013572468", 18]
["013572684", 22]
["013572846", 26]
["013574286", 28]
["013574628", 24]
["013574862", 24]
["013576248", 26]
["013576482", 22]
["013576824", 26]
["013578264", 26]
["013578426", 22]
["013578642", 26]
["013582476", 24]
["013582647", 22]
["013582764", 24]
["013584267", 24]
["013584672", 22]
["013584726", 26]
["013586274", 24]
["013586427", 28]
["013586742", 26]
["013587246", 26]
["013587462", 22]
["013587624", 24]
["013624578", 18]
["013624785", 14]
["013624857", 18]
["013625487", 20]
["013625748", 16]
["013625874", 20]
["013627458", 24]
["013627584", 22]
["013627845", 20]
["013628475", 22]
["013628547", 20]
["013628754", 18]
["013642587", 20]
["013642758", 16]
["013642875", 18]
["013645278", 20]
["013645782", 18]
["013645827", 22]
["013647285", 24]
["013647528", 24]
["013647852", 20]
["013648257", 22]
["013648572", 22]
["013648725", 20]
["013652478", 18]
["013652784", 16]
["013652847", 20]
["013654287", 24]
["013654728", 18]
["013654872", 20]
["013657248", 26]
["013657482", 22]
["013657824", 22]
["013658274", 22]
["013658427", 20]
["013658742", 20]
["013672485", 16]
["013672548", 20]
["013672854", 18]
["013674258", 24]
["013674582", 20]
["013674825", 20]
["013675284", 22]
["013675428", 20]
["013675842", 22]
["013678245", 26]
["013678452", 20]
["013678524", 24]
["013682457", 22]
["013682574", 22]
["013682745", 18]
["013684275", 20]
["013684527", 22]
["013684752", 16]
["013685247", 22]
["013685472", 22]
["013685724", 20]
["013687254", 26]
["013687425", 26]
["013687542", 24]
["013724586", 24]
["013724658", 22]
["013724865", 18]
["013725468", 20]
["013725684", 18]
["013725846", 20]
["013726485", 20]
["013726548", 24]
["013726854", 20]
["013728456", 24]
["013728564", 22]
["013728645", 22]
["013742568", 18]
["013742685", 16]
["013742856", 22]
["013745286", 26]
["013745628", 20]
["013745862", 22]
["013746258", 26]
["013746582", 22]
["013746825", 22]
["013748265", 24]
["013748526", 22]
["013748652", 20]
["013752486", 22]
["013752648", 20]
["013752864", 20]
["013754268", 22]
["013754682", 20]
["013754826", 22]
["013756284", 24]
["013756428", 24]
["013756842", 22]
["013758246", 24]
["013758462", 24]
["013758624", 24]
["013762458", 18]
["013762584", 22]
["013762845", 20]
["013764285", 22]
["013764528", 22]
["013764852", 18]
["013765248", 22]
["013765482", 20]
["013765824", 22]
["013768254", 24]
["013768425", 22]
["013768542", 24]
["013782465", 20]
["013782546", 24]
["013782654", 22]
["013784256", 26]
["013784562", 22]
["013784625", 24]
["013785264", 22]
["013785426", 24]
["013785642", 26]
["013786245", 26]
["013786452", 22]
["013786524", 24]
["013824567", 22]
["013824675", 18]
["013824756", 24]
["013825476", 24]
["013825647", 18]
["013825764", 22]
["013826457", 26]
["013826574", 24]
["013826745", 24]
["013827465", 24]
["013827546", 24]
["013827654", 22]
["013842576", 26]
["013842657", 18]
["013842765", 20]
["013845267", 22]
["013845672", 22]
["013845726", 24]
["013846275", 24]
["013846527", 26]
["013846752", 24]
["013847256", 26]
["013847562", 22]
["013847625", 22]
["013852467", 20]
["013852674", 20]
["013852746", 24]
["013854276", 26]
["013854627", 22]
["013854762", 24]
["013856247", 28]
["013856472", 24]
["013856724", 28]
["013857264", 24]
["013857426", 24]
["013857642", 24]
["013862475", 22]
["013862547", 22]
["013862754", 20]
["013864257", 26]
["013864572", 22]
["013864725", 24]
["013865274", 26]
["013865427", 24]
["013865742", 24]
["013867245", 26]
["013867452", 26]
["013867524", 24]
["013872456", 22]
["013872564", 24]
["013872645", 22]
["013874265", 24]
["013874526", 24]
["013874652", 20]
["013875246", 24]
["013875462", 26]
["013875624", 24]
["013876254", 28]
["013876425", 26]
["013876542", 26]
["014235678", 16]
["014235786", 22]
["014235867", 22]
["014236587", 26]
["014236758", 22]
