line #	init state	h (Manhattan)	f* (optimal sol len)	IDA* nodes gen
88	15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4	43	65	6,009,130,748
82	14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0	40	62	5,506,801,123
60	11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0	48	66	3,337,690,331
66	11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2	41	61	1,957,191,378
49	10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8	33	59	1,809,933,698
14	7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12	41	59	1,369,596,778
59	15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3	35	57	1,207,520,464
56	3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8	29	55	1,199,487,996
92	3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1	37	57	1,101,072,541
72	12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6	38	56	1,031,641,140
63	8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3	40	56	995,472,712
22	14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6	41	59	750,746,755
32	14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15	43	59	661,041,936
17	15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12	46	66	607,399,560
91	9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4	41	57	602,886,858
3	14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15	41	59	565,994,203
15	13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0	44	62	543,598,067
33	14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8	42	60	480,637,867
53	14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6	50	64	465,225,698
7	2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0	30	52	387,138,094
52	10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5	38	56	377,141,881
27	14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11	33	53	306,123,421
37	8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4	40	58	280,078,791
